IP,Method,Path,Query,User-Agent,Timestamp,Label
16.83.196.19,GET,/profile,admin' --,Opera/77.0.4054.254,2025-03-26 13:28:47.761446,1
18.97.160.158,GET,/search,name=JohnDoe,Opera/77.0.4054.254,2025-03-26 12:55:37.761446,0
211.132.7.98,GET,/login,' OR 'a' = 'a,Mozilla/5.0,2025-03-26 13:00:43.761446,1
37.88.251.199,GET,/profile,' OR 'a' = 'a,Chrome/92.0.4515.159,2025-03-26 12:52:37.761446,1
14.167.127.100,POST,/profile,admin' --,Opera/77.0.4054.254,2025-03-26 13:39:25.761446,1
126.84.65.12,GET,/profile,"' UNION SELECT null, null, null --",Chrome/92.0.4515.159,2025-03-26 12:56:42.761446,1
155.117.81.246,POST,/login,city=NewYork,Safari/537.36,2025-03-26 13:02:38.761446,0
6.108.86.114,GET,/search,search=apple,Mozilla/5.0,2025-03-26 13:32:54.761446,0
12.74.220.26,GET,/login,"' UNION SELECT null, null, null --",Chrome/92.0.4515.159,2025-03-26 13:26:33.761446,1
87.242.167.237,POST,/profile,'; DROP TABLE users; --,Opera/77.0.4054.254,2025-03-26 13:46:47.761446,1
5.197.138.212,GET,/login,name=JohnDoe,Opera/77.0.4054.254,2025-03-26 13:24:52.761446,0
157.188.49.1,POST,/profile,' OR 'a' = 'a,Mozilla/5.0,2025-03-26 13:26:01.761446,1
17.78.108.26,POST,/admin,name=JohnDoe,Chrome/92.0.4515.159,2025-03-26 13:38:07.761446,0
56.208.181.186,GET,/login,"' UNION SELECT null, null, null --",Opera/77.0.4054.254,2025-03-26 13:31:05.761446,1
93.93.84.169,POST,/search,' OR 1=1; --,Opera/77.0.4054.254,2025-03-26 13:41:16.761446,1
142.171.75.51,GET,/admin,' OR 1=1; --,Chrome/92.0.4515.159,2025-03-26 13:26:39.761446,1
3.139.113.6,GET,/login,' OR 1=1; --,Chrome/92.0.4515.159,2025-03-26 12:56:19.761446,1
164.7.186.131,POST,/admin,city=NewYork,Safari/537.36,2025-03-26 13:18:55.761446,0
124.108.82.114,GET,/admin,name=JohnDoe,Safari/537.36,2025-03-26 13:45:10.761446,0
150.231.49.119,POST,/admin,email=user@example.com,Opera/77.0.4054.254,2025-03-26 12:56:09.761446,0
68.155.101.177,GET,/search,"' UNION SELECT null, null, null --",Chrome/92.0.4515.159,2025-03-26 12:57:56.761446,1
66.230.129.105,POST,/admin,' OR 'a' = 'a,Safari/537.36,2025-03-26 13:07:19.761446,1
129.99.201.48,POST,/login,' OR 1=1; --,Chrome/92.0.4515.159,2025-03-26 13:15:59.761446,1
57.109.151.232,GET,/admin,name=JohnDoe,Chrome/92.0.4515.159,2025-03-26 12:57:00.761446,0
195.230.84.96,POST,/login,password=123456,Safari/537.36,2025-03-26 13:47:23.761446,0
107.169.171.169,GET,/admin,name=JohnDoe,Chrome/92.0.4515.159,2025-03-26 13:36:25.761446,0
67.55.137.213,POST,/admin,'; DROP TABLE users; --,Safari/537.36,2025-03-26 13:13:59.761446,1
29.158.65.139,GET,/search,username=admin,Safari/537.36,2025-03-26 13:39:33.761446,0
143.150.143.96,POST,/profile,city=NewYork,Opera/77.0.4054.254,2025-03-26 13:01:40.761446,0
160.24.102.100,POST,/profile,email=user@example.com,Safari/537.36,2025-03-26 13:24:40.761446,0
248.174.127.136,POST,/login,"' UNION SELECT null, null, null --",Chrome/92.0.4515.159,2025-03-26 13:21:16.761446,1
167.163.37.32,POST,/profile,'; DROP TABLE users; --,Opera/77.0.4054.254,2025-03-26 13:08:10.761446,1
220.123.14.18,POST,/profile,admin' --,Chrome/92.0.4515.159,2025-03-26 12:54:09.761446,1
106.115.34.218,POST,/login,name=JohnDoe,Opera/77.0.4054.254,2025-03-26 13:12:04.761446,0
91.120.215.52,GET,/search,1' OR '1' = '1,Mozilla/5.0,2025-03-26 13:13:46.761446,1
102.39.147.26,GET,/login,email=user@example.com,Chrome/92.0.4515.159,2025-03-26 12:58:50.761446,0
114.146.159.77,POST,/search,' OR 1=1; --,Mozilla/5.0,2025-03-26 13:21:58.761446,1
178.176.143.5,GET,/login,admin' --,Mozilla/5.0,2025-03-26 13:50:13.761446,1
70.2.177.26,POST,/login,1' OR '1' = '1,Mozilla/5.0,2025-03-26 13:39:10.761446,1
76.232.202.71,GET,/admin,admin' --,Opera/77.0.4054.254,2025-03-26 13:30:33.761446,1
97.213.7.131,GET,/profile,search=apple,Safari/537.36,2025-03-26 12:52:33.761446,0
46.236.173.228,POST,/profile,username=admin,Mozilla/5.0,2025-03-26 13:18:43.761446,0
51.50.69.187,POST,/login,email=user@example.com,Mozilla/5.0,2025-03-26 13:36:36.761446,0
165.110.243.159,GET,/search,search=apple,Opera/77.0.4054.254,2025-03-26 12:59:42.761446,0
16.239.122.85,POST,/profile,1' OR '1' = '1,Safari/537.36,2025-03-26 13:07:52.761446,1
195.28.241.132,GET,/search,admin' --,Opera/77.0.4054.254,2025-03-26 13:25:04.761446,1
189.188.155.148,POST,/search,search=apple,Opera/77.0.4054.254,2025-03-26 13:45:47.761446,0
150.113.130.194,POST,/login,email=user@example.com,Safari/537.36,2025-03-26 13:17:26.761446,0
183.152.219.243,GET,/admin,email=user@example.com,Mozilla/5.0,2025-03-26 13:01:37.761446,0
173.231.75.92,GET,/profile,"' UNION SELECT null, null, null --",Chrome/92.0.4515.159,2025-03-26 13:32:52.761446,1
35.164.229.179,POST,/login,username=admin,Chrome/92.0.4515.159,2025-03-26 13:28:47.761446,0
143.64.154.124,GET,/search,username=admin,Safari/537.36,2025-03-26 13:05:56.761446,0
147.35.255.207,POST,/search,password=123456,Chrome/92.0.4515.159,2025-03-26 13:03:31.761446,0
197.170.159.33,GET,/profile,city=NewYork,Safari/537.36,2025-03-26 12:55:06.761446,0
16.54.13.23,POST,/profile,1' OR '1' = '1,Safari/537.36,2025-03-26 13:47:02.761446,1
85.219.249.227,POST,/profile,username=admin,Safari/537.36,2025-03-26 12:53:26.761446,0
241.154.148.83,GET,/search,search=apple,Mozilla/5.0,2025-03-26 13:19:04.761446,0
226.30.155.20,GET,/login,' OR 1=1; --,Mozilla/5.0,2025-03-26 13:31:55.761446,1
5.86.4.176,POST,/search,' OR 1=1; --,Mozilla/5.0,2025-03-26 13:46:45.761446,1
43.211.166.161,POST,/login,username=admin,Mozilla/5.0,2025-03-26 13:43:20.761446,0
233.132.238.158,POST,/login,'; DROP TABLE users; --,Chrome/92.0.4515.159,2025-03-26 13:38:06.761446,1
7.14.49.164,POST,/login,password=123456,Opera/77.0.4054.254,2025-03-26 12:51:30.761446,0
111.149.105.168,POST,/profile,' OR 1=1; --,Chrome/92.0.4515.159,2025-03-26 13:17:58.761446,1
5.112.205.97,POST,/admin,' OR 'a' = 'a,Opera/77.0.4054.254,2025-03-26 13:16:45.761446,1
237.185.63.81,POST,/login,password=123456,Opera/77.0.4054.254,2025-03-26 13:38:12.761446,0
167.56.30.26,GET,/profile,' OR 'a' = 'a,Safari/537.36,2025-03-26 13:36:20.761446,1
197.168.126.190,POST,/search,email=user@example.com,Opera/77.0.4054.254,2025-03-26 13:40:33.761446,0
8.150.239.74,POST,/profile,city=NewYork,Chrome/92.0.4515.159,2025-03-26 13:26:17.761446,0
62.81.122.189,GET,/profile,email=user@example.com,Chrome/92.0.4515.159,2025-03-26 13:22:12.761446,0
106.239.197.126,GET,/login,' OR 1=1; --,Opera/77.0.4054.254,2025-03-26 13:05:33.761446,1
210.162.129.29,GET,/admin,' OR 1=1; --,Chrome/92.0.4515.159,2025-03-26 12:58:31.761446,1
165.216.152.99,GET,/admin,username=admin,Mozilla/5.0,2025-03-26 13:42:07.761446,0
50.118.211.159,POST,/search,admin' --,Chrome/92.0.4515.159,2025-03-26 13:28:20.761446,1
62.211.54.144,GET,/admin,'; DROP TABLE users; --,Safari/537.36,2025-03-26 13:11:05.761446,1
213.11.92.170,GET,/login,'; DROP TABLE users; --,Opera/77.0.4054.254,2025-03-26 13:11:02.761446,1
91.203.169.253,POST,/search,city=NewYork,Safari/537.36,2025-03-26 12:53:49.761446,0
156.109.31.169,POST,/admin,' OR 'a' = 'a,Safari/537.36,2025-03-26 12:54:16.761446,1
241.104.113.171,GET,/profile,password=123456,Safari/537.36,2025-03-26 13:40:36.761446,0
211.188.130.171,GET,/admin,' OR 'a' = 'a,Safari/537.36,2025-03-26 13:35:27.761446,1
174.186.2.248,POST,/search,password=123456,Safari/537.36,2025-03-26 13:49:34.761446,0
60.225.62.62,GET,/admin,name=JohnDoe,Opera/77.0.4054.254,2025-03-26 13:08:53.761446,0
109.82.246.133,POST,/admin,password=123456,Safari/537.36,2025-03-26 13:12:26.761446,0
